[2018-10-24 04:05:25+0000] Could not reach the UAA server
[2018-10-24 04:05:56+0000] Could not reach the UAA server
[2018-10-24 04:06:49+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:07:09+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:07:30+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:07:51+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:08:13+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:08:34+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:08:55+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:09:16+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:09:37+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:09:58+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:10:19+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:10:40+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:11:02+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:11:23+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:11:44+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:12:05+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:12:26+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:12:47+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:13:09+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:13:30+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:13:50+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:14:12+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:14:33+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:14:54+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:15:15+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:15:36+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:15:57+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:16:18+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:16:40+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:17:01+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:17:22+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:17:43+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:18:04+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:18:25+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:18:47+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:19:07+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:19:28+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:19:50+0000] Successfully connected to UAA, continuing startup
[2018-10-24 04:20:11+0000] Successfully connected to UAA, continuing startup
